ClassRecord;RightsSet
РКП_СИС.Смена;1234
Базовый.Данные.Субъект;1234
РКП_Справочники.спрТипУД;1234
РКП_Справочники.спрГеография;1234
РКП_Справочники.спрРедакция;1234
РКП_Справочники.спрТерриторияРаспространения;1234
РКП_Справочники.спрЯзыкИздания;1234
РКП_Справочники.спрЯзыкОригинала;1234
РКП_Справочники.спрТематика;1234
РКП_Справочники.спрТематикаСтатьи;1234
РКП_Справочники.спрББК;1234
РКП_Справочники.спрГеографияСтатьи;1234
РКП_Справочники.спрЛица;1234
РКП_Статьи.спрСерияПриложений;1234
РКП_Справочники.спрСерияСтатей;1234
РКП_Справочники.спрЖанр;1234
РКП_Справочники.спрПОрганизация;1234
РКП_Справочники.спрПСтруктПодр;1234
РКП_Справочники.спрПВремПодр;1234
РКП_Справочники.спрПКоллектив;1234
РКП_Справочники.спрВОрганизация;1234
РКП_Справочники.спрВСтруктПодр;1234
РКП_Справочники.спрВВремПодр;1234
РКП_Справочники.спрВКоллектив;1234
РКП_Газеты.УчетныйДокумент;1234
РКП_Газеты.ЕдиницаХранения;1234
РКП_Газеты.Газета;1234
РКП_Газеты.ИсторияГазеты;1234
РКП_Газеты.НомерГазеты;1234
РКП_Газеты.ВыпускГазеты;1234
РКП_Газеты.ПоступлениеГазеты;1234
РКП_Газеты.ПротоколВводаРГ;1234
РКП_Газеты.СправкаПополненияБД;1234
РКП_Газеты.ПозицияПополненияБД;1234
РКП_Газеты.СправкаКолЕдиницХранения;1234
РКП_Газеты.СправкаПоПоследнемуНомеру;1234
РКП_Газеты.ЭкспортВБанкДанныхГазет;1234
РКП_Газеты.ЭкспортВБанкДанныхНомеров;1234
РКП_Газеты.ВыпускЛППИ;1234
РКП_Статьи.Роспись;1234
РКП_Статьи.ПротоколВводаОЛГС;1234
РКП_Статьи.ВыпускЛГС;1234
РКП_Статьи.ВыпускПК;1234
Базовый.Справочники.ЕдиницаИзмерения;1234
Kernel.Settings.User;1234
Kernel.Settings.Role;1234
МашинаРеквизитов.УправлениеДоступом.ДопПрава;1234
Kernel.Settings.File;1234
Kernel.Settings.CommonFile;1234
Kernel.Macroses.Dates;1234
Kernel.Vars.Float;1234
Kernel.Vars.Int;1234
Kernel.Vars.String;1234
Kernel.Vars.Date;1234
Kernel.Vars.Reference;1234
СИС2.Настройки.ИНИ;1234
РКП_СИС.ЛогРабот;1234
РКП_Газеты.ПротоколВводаОППИ;1234
РКП_Газеты.ПротоколВводаОРГП;1234
РКП_Статьи.ПротоколВводаГЛГС;1234
