ClassRecord;RightsSet
РКП_СИС.Смена;1234
Базовый.Данные.Субъект;1234
РКП_Справочники.спрТипУД;1234
РКП_Справочники.спрГеография;1234
РКП_Справочники.спрРедакция;1234
РКП_Справочники.спрТерриторияРаспространения;1234
РКП_Справочники.спрЯзыкИздания;1234
РКП_Справочники.спрЯзыкОригинала;
РКП_Справочники.спрТематика;1234
РКП_Справочники.спрТематикаСтатьи;
РКП_Справочники.спрББК;
РКП_Справочники.спрГеографияСтатьи;
РКП_Справочники.спрЛица;
РКП_Статьи.спрСерияПриложений;
РКП_Справочники.спрПОрганизация;
РКП_Справочники.спрПСтруктПодр;
РКП_Справочники.спрПВремПодр;
РКП_Справочники.спрПКоллектив;
РКП_Справочники.спрВОрганизация;
РКП_Справочники.спрВСтруктПодр;
РКП_Справочники.спрВВремПодр;
РКП_Справочники.спрВКоллектив;
РКП_Газеты.УчетныйДокумент;1234
РКП_Газеты.ЕдиницаХранения;1234
РКП_Газеты.Газета;1234
РКП_Газеты.ИсторияГазеты;1234
РКП_Газеты.НомерГазеты;1234
РКП_Газеты.ВыпускГазеты;1234
РКП_Газеты.ПоступлениеГазеты;1234
РКП_Газеты.ПротоколВводаРГ;1234
РКП_Газеты.СправкаПополненияБД;1234
РКП_Газеты.ПозицияПополненияБД;1234
РКП_Газеты.СправкаКолЕдиницХранения;1234
РКП_Газеты.СправкаПоПоследнемуНомеру;1234
РКП_Газеты.ЭкспортВБанкДанныхГазет;1234
РКП_Газеты.ЭкспортВБанкДанныхНомеров;1234
РКП_Газеты.ВыпускЛППИ;1234
РКП_Статьи.Роспись;
РКП_Статьи.ПротоколВводаОЛГС;
РКП_Статьи.ВыпускЛГС;
РКП_Статьи.ВыпускПК;
Kernel.Settings.User;1
Kernel.Settings.Role;1
МашинаРеквизитов.УправлениеДоступом.ДопПрава;1
Kernel.Settings.File;
Kernel.Settings.CommonFile;
Kernel.Macroses.Dates;
Kernel.Vars.Float;
Kernel.Vars.Int;
Kernel.Vars.String;
Kernel.Vars.Date;
Kernel.Vars.Reference;
СИС2.Настройки.ИНИ;
РКП_СИС.ЛогРабот;1234
РКП_Газеты.ПротоколВводаОППИ;1234
РКП_Газеты.ПротоколВводаОРГП;1234
РКП_Статьи.ПротоколВводаГЛГС;
